topic,type,target_centre,priority,status,published_url,content_file,notes
Top 10 fail spots in Raheny driving test,fail-spots,Raheny,high,done,/guides/raheny-fail-spots.html,,Exact junctions + lane positioning
Top 10 fail spots in Tallaght driving test,fail-spots,Tallaght,high,done,/guides/tallaght-fail-spots.html,,Strong search intent
Top 10 fail spots in Finglas driving test,fail-spots,Finglas,high,done,/guides/finglas-fail-spots.html,,Link to Finglas routes
Top 10 fail spots in Dun Laoghaire driving test,fail-spots,Dun Laoghaire,high,done,/guides/dun-laoghaire-fail-spots.html,,Include roundabouts
How to pass the Raheny driving test,pass-guide,Raheny,high,done,/guides/pass-raheny-driving-test.html,,Practical examiner advice
How to pass the Tallaght driving test,pass-guide,Tallaght,high,done,/guides/pass-tallaght-driving-test.html,,Heavy CTA to routes
How to pass the Finglas driving test,pass-guide,Finglas,high,done,/guides/pass-finglas-driving-test.html,,Local roads + pressure points
How to pass the Dun Laoghaire driving test,pass-guide,Dun Laoghaire,high,done,/guides/pass-dun-laoghaire-driving-test.html,,Mention difficult roads
Hardest roundabouts in Dublin driving tests,roundabouts,,high,done,/guides/hardest-roundabouts-dublin.html,,Huge local SEO opportunity
Irish driving test speed limit traps,guide,,high,done,/guides/driving-test-speed-limit-traps.html,,Very strong learner intent
Most common reasons learners fail the Irish driving test,guide,,high,done,/guides/common-driving-test-fails.html,,National pillar page
What happens on the day of the Irish driving test,guide,,high,done,/guides/driving-test-day-guide.html,,Evergreen traffic
Irish driving test checklist 2026,checklist,,high,done,/guides/driving-test-checklist-ireland.html,,High volume keyword
Best time to practise driving test routes in Dublin,guide,,medium,planned,/guides/best-time-practise-driving-test-routes.html,,Low competition
How examiners mark observation mistakes,guide,,medium,planned,/guides/observation-mistakes-driving-test.html,,Links to fail pages
Lane positioning mistakes on Irish driving tests,guide,,medium,planned,/guides/lane-positioning-mistakes.html,,High fail topic
Roundabout mistakes that fail learner drivers,guide,,high,done,/guides/roundabout-mistakes-driving-test.html,,Can rank nationally
Hill start mistakes on Irish driving tests,guide,,medium,planned,/guides/hill-start-mistakes.html,,Easy cluster content
Irish driving test mirror checks explained,guide,,medium,planned,/guides/mirror-checks-driving-test.html,,Good beginner search traffic
The hardest driving test centres in Ireland,comparison,,high,done,/guides/hardest-driving-test-centres-ireland.html,,High CTR potential
The easiest driving test centres in Ireland,comparison,,high,done,/guides/easiest-driving-test-centres-ireland.html,,Good discussion topic
Dublin driving test routes explained,city-guide,Dublin,high,done,/guides/dublin-driving-test-routes.html,,Internal link hub
Cork driving test routes explained,city-guide,Cork,medium,planned,/guides/cork-driving-test-routes.html,,Cluster page
Galway driving test routes explained,city-guide,Galway,medium,planned,/guides/galway-driving-test-routes.html,,Cluster page
How many driving lessons do you really need in Ireland?,guide,,medium,planned,/guides/how-many-driving-lessons-needed.html,,Commercial intent
Can you fail for nerves on the driving test?,guide,,medium,planned,/guides/fail-driving-test-for-nerves.html,,Emotional search intent
How to practise driving test routes without an instructor,guide,,medium,planned,/guides/practise-driving-test-routes-alone.html,,Strong conversion potential
The biggest mistakes learners make at traffic lights,guide,,medium,planned,/guides/traffic-light-mistakes-driving-test.html,,Easy keyword
Understanding RSA driving test grade sheets,guide,,medium,planned,/guides/rsa-grade-sheet-explained.html,,Searchable topic
Why knowing the local test area matters,guide,,high,planned,/guides/why-local-driving-test-practice-matters.html,,Perfect DriveFlow funnel
